OBJECT_ID,OBJECT_NAME,NORAD_CAT_ID,COUNTRY,PERIOD,INCLINATION,APOGEE,PERIGEE,RCS_SIZE,RCSVALUE,LAUNCH,COMMENT
"2010-025C","BREEZE-M DEB","36594","CIS","291.41","49.49","16038","325","LARGE","0","2010-06-03",""
"2010-025B","BREEZE-M R/B","36593","CIS","694.25","18.20","34174","5014","LARGE","0","2010-06-03",""
"2010-025A","BADR-5 (ARABSAT 5B)","36592","AB","1436.12","0.01","35804","35770","LARGE","0","2010-06-03",""
"2010-024B","CZ-3C R/B","36591","PRC","308.03","20.71","17238","223","LARGE","0","2010-06-02",""
"2010-024A","BEIDOU 4","36590","PRC","1436.06","1.47","35815","35757","LARGE","0","2010-06-02",""
"2010-023B","SL-19 R/B","36589","CIS","106.01","100.50","1209","874","LARGE","0","2010-06-02",""
"2010-023A","SERVIS 2","36588","JPN","109.43","100.43","1214","1188","LARGE","0","2010-06-02",""
"2009-075B","BREEZE-M R/B","36587","CIS","722.13","21.41","35679","4890","LARGE","0","2009-12-29",""
"2010-022B","DELTA 4 R/B","36586","US","754.17","55.85","21739","20395","LARGE","0","2010-05-28",""
"2010-022A","NAVSTAR 65 (USA 213)","36585","US","718.00","55.92","20357","20009","LARGE","0","2010-05-28",""
"2010-021D","ARIANE 5 DEB (SYLDA)","36584","FR","281.92","2.88","15506","222","LARGE","0","2010-05-21",""
"2010-021C","ARIANE 5 R/B","36583","FR","594.12","2.94","33795","269","LARGE","0","2010-05-21",""
"2010-021B","COMSATBW-2","36582","GER","1436.13","0.04","35796","35779","LARGE","0","2010-05-21",""
"2010-021A","ASTRA 3B","36581","SES","1436.07","0.05","35798","35774","LARGE","0","2010-05-21",""
"2010-020H","H-2A DEB","36580","JPN","","","","","","0","2010-05-20","HELIOCENTRIC ORBIT (SUN)"
"2010-020G","H-2A R/B","36579","JPN","","","","","","0","2010-05-20","HELIOCENTRIC ORBIT (SUN)"
"2010-020F","UNITEC-1","36578","JPN","","","","","","0","2010-05-20","HELIOCENTRIC ORBIT (SUN)"
"2010-020E","IKAROS","36577","JPN","","","","","","0","2010-05-20","HELIOCENTRIC ORBIT (SUN)"
"2010-020D","AKATSUKI (PLANET-C)","36576","JPN","","","","","","0","2010-05-20","HELIOCENTRIC ORBIT (SUN)"
"2006-002AA","ALOS DEB","36571","JPN","98.24","97.83","676","673","SMALL","0","2006-01-24",""
"1997-051WV","IRIDIUM 33 DEB","36566","US","101.87","86.43","971","724","SMALL","0","1997-09-14",""
"1997-051WS","IRIDIUM 33 DEB","36563","US","97.90","86.36","683","634","SMALL","0","1997-09-14",""
"1993-036BDV","COSMOS 2251 DEB","36559","CIS","105.03","74.13","1243","749","SMALL","0","1993-06-16",""
"1993-036BDU","COSMOS 2251 DEB","36558","CIS","99.87","74.05","765","739","SMALL","0","1993-06-16",""
"1993-036BDT","COSMOS 2251 DEB","36557","CIS","99.95","73.99","786","727","SMALL","0","1993-06-16",""
"1993-036BDR","COSMOS 2251 DEB","36555","CIS","97.93","74.00","742","577","SMALL","0","1993-06-16",""
"1993-036BDQ","COSMOS 2251 DEB","36554","CIS","96.74","74.00","625","580","SMALL","0","1993-06-16",""
"1993-036BDP","COSMOS 2251 DEB","36553","CIS","97.68","74.05","684","612","SMALL","0","1993-06-16",""
"1993-036BDM","COSMOS 2251 DEB","36551","CIS","98.45","73.90","756","613","SMALL","0","1993-06-16",""
"1993-036BDL","COSMOS 2251 DEB","36550","CIS","101.41","74.05","887","764","SMALL","0","1993-06-16",""
"1993-036BDJ","COSMOS 2251 DEB","36548","CIS","96.33","74.01","589","577","SMALL","0","1993-06-16",""
"1993-036BDD","COSMOS 2251 DEB","36543","CIS","98.87","73.83","742","667","SMALL","0","1993-06-16",""
"1993-036BDB","COSMOS 2251 DEB","36541","CIS","98.68","74.01","722","669","SMALL","0","1993-06-16",""
"1993-036BDA","COSMOS 2251 DEB","36540","CIS","100.00","74.04","775","742","SMALL","0","1993-06-16",""
"1993-036BCZ","COSMOS 2251 DEB","36539","CIS","99.55","74.03","762","712","SMALL","0","1993-06-16",""
"1993-036BCW","COSMOS 2251 DEB","36536","CIS","97.87","74.04","710","604","SMALL","0","1993-06-16",""
"1993-036BCT","COSMOS 2251 DEB","36533","CIS","99.81","74.01","788","711","SMALL","0","1993-06-16",""
"1993-036BCS","COSMOS 2251 DEB","36532","CIS","97.76","73.99","698","605","SMALL","0","1993-06-16",""
"1993-036BCR","COSMOS 2251 DEB","36531","CIS","103.52","74.11","1106","744","SMALL","0","1993-06-16",""
