0 IRIDIUM 7
2 42804  86.3977 201.3762 0002196  83.9863 276.1583 14.34215241 28252
0 IRIDIUM 120
1 42805U 17039C   18008.50861331  .00000035  00000-0  78435-6 0  9994
2 42805  85.6095 178.3914 0011683 273.0441  86.9444 14.84094638 29167
0 IRIDIUM 115
1 42806U 17039D   18008.50596306  .00000052  00000-0  28574-5 0  9999
2 42806  85.8736 184.6988 0013177 271.0934  88.8779 14.84091640 29160
0 IRIDIUM 118
1 42807U 17039E   18008.49855039 -.00000012  00000-0 -11256-4 0  9995
2 42807  86.3977 201.4025 0002340  94.9426 265.2036 14.34217445 28256
0 IRIDIUM 117
1 42808U 17039F   18008.51759252 -.00000016  00000-0 -12864-4 0  9999
2 42808  86.3976 201.3791 0001683  62.6181 297.5186 14.34215675 28284
0 IRIDIUM 126
1 42809U 17039G   18008.54296403 -.00000009  00000-0 -10178-4 0  9995
2 42809  86.3978 201.3719 0002075  81.1442 278.9988 14.34215774 28260
0 IRIDIUM 124
1 42810U 17039H   18008.51183460  .00000048  00000-0  23877-5 0  9994
2 42810  85.6797 182.7908 0010358 267.9392  92.0644 14.84093893 29161
0 IRIDIUM 128
1 42811U 17039J   18008.53380956  .00000058  00000-0  14017-4 0  9992
2 42811  87.4990 224.4364 0002177  91.6441 268.5005 14.34223464 28281
0 IRIDIUM 121
1 42812U 17039K   18008.14335462 -.00000012  00000-0 -11193-4 0  9996
2 42812  86.3979 201.5503 0002099  82.9856 277.1578 14.34218430 28192
0 IRIDIUM 133
1 42955U 17061A   18008.56539261  .00000091  00000-0  25309-4 0  9997
2 42955  86.3973 232.9456 0002559  75.0647 285.0832 14.34217580 13089
0 IRIDIUM 100
1 42956U 17061B   18008.55906225  .00000056  00000-0  12805-4 0  9993
2 42956  86.3971 232.9405 0001932  85.3362 274.8055 14.34217131 13102
0 IRIDIUM 122
1 42957U 17061C   18008.52733260  .00000066  00000-0  16423-4 0  9999
2 42957  86.3970 232.9483 0002721  68.3041 291.8444 14.34216833 13086
0 IRIDIUM 129
1 42958U 17061D   18008.55270992  .00000058  00000-0  13824-4 0  9994
2 42958  86.3972 232.9707 0002430  75.1768 284.9696 14.34218900 13109
0 IRIDIUM 119
1 42959U 17061E   18008.52099667  .00000075  00000-0  19571-4 0  9994
2 42959  86.3973 232.9646 0002578  78.4924 281.6561 14.34217725 13116
0 IRIDIUM 107
1 42960U 17061F   18008.54001916  .00000055  00000-0  12466-4 0  9992
2 42960  86.3972 232.9587 0001964  82.6908 277.4511 14.34219740 13137
0 IRIDIUM 132
1 42961U 17061G   18008.54636229  .00000070  00000-0  18070-4 0  9998
2 42961  86.3972 232.9517 0001778  71.7421 288.3968 14.34219540 13127
0 IRIDIUM 136
1 42962U 17061H   18008.36877422  .00000041  00000-0  75422-5 0  9994
2 42962  86.3973 233.0239 0002562  83.4449 276.7038 14.34217253 13111
0 IRIDIUM 139
1 42963U 17061J   18008.16581567  .00000059  00000-0  13937-4 0  9996
2 42963  86.3975 233.1205 0002043  80.0159 280.1268 14.34217231 13090
0 IRIDIUM 125
1 42964U 17061K   18008.15313269  .00000066  00000-0  16408-4 0  9992
2 42964  86.3976 233.1315 0001980  82.2177 277.9243 14.34216404 13107
0 IRIDIUM 135
1 43070U 17083A   18008.40048210  .00000086  00000-0  14432-4 0  9991
2 43070  86.5262 169.9025 0001727 123.5584 236.5790 14.56921550  2408
0 IRIDIUM 138
1 43071U 17083B   18008.50098147  .00000029  00000-0  16884-5 0  9998
2 43071  86.5268 169.8694 0002063 100.9930 259.1511 14.56930541  2428
0 IRIDIUM 116
1 43072U 17083C   18007.96369435  .00000117  00000-0  16950-4 0  9990
2 43072  86.5870 170.1031 0012109 200.1656 159.9081 14.66325683  2355
0 IRIDIUM 130
1 43073U 17083D   18008.53377475  .00000078  00000-0  12428-4 0  9990
2 43073  86.5271 169.8395 0001006 107.7409 252.3910 14.57112393  2419
0 IRIDIUM 151
1 43074U 17083E   18008.51373969  .00000053  00000-0  68714-5 0  9996
2 43074  86.5275 169.8631 0002053 104.8600 255.2836 14.57028193  2414
0 IRIDIUM 134
1 43075U 17083F   18008.52050637  .00000024  00000-0  16822-5 0  9993
2 43075  86.3986 169.8225 0001723  85.0099 275.1293 14.34239825  2404
0 IRIDIUM 137
1 43076U 17083G   18008.42549810  .00000185  00000-0  19032-4 0  9992
2 43076  86.6894 169.8978 0013894 190.5542 169.5392 14.83614979  2416
0 IRIDIUM 141
1 43077U 17083H   18008.49556945  .00000111  00000-0  15744-4 0  9992
2 43077  86.5860 169.8683 0012641 191.3465 168.7466 14.66587729  2421
0 IRIDIUM 153
1 43078U 17083J   18008.42428775  .00000102  00000-0  89250-5 0  9999
2 43078  85.9134 169.6984 0013486 187.3740 172.7286 14.83730198  2413
0 IRIDIUM 131
1 43079U 17083K   18008.51642440  .00000071  00000-0  14962-4 0  9999
2 43079  86.4499 169.8409 0000937  28.9235 331.2018 14.43655844  2408

